"text","givenName","gender","correct_logical","correct_gender","genderIndicators"
"Koskinen, Elise Marjaana","elise","female",1,"female",2
"Krohn, Irina Kaarina","irina","female",1,"female",2
"Kuisma, Risto Martti Antero","risto","male",1,"male",3
"Kukkonen, Jorma Viljami","jorma","male",1,"male",2
"Wideroos (e. Kukkonen), Cecilia Ulla-Maj","cecilia","female",1,"female",3
"Kuosmanen, Pekka Kalevi","pekka","male",1,"male",2
"Kurola, Osmo Aarne","aarne","male",1,"male",2
"Lahtela, Esa Esko","esa","male",1,"male",2
"Lapintie, Annika Anita","anita","female",1,"female",2
"Lindén, Suvi Helmi Tellervo","suvi","female",1,"female",3
"Lämsä, Eero Hannu","hannu","male",1,"male",2
"Löv, Pehr Johan Andreas","andreas","male",1,"male",3
"Manninen, Hannes","hannes","male",1,"male",1
"Markkula, Markku Antero","markku","male",1,"male",2
"Mähönen, Raimo Aulis","raimo","male",1,"male",2
"Nurmi, Tuija Anna-Liisa","anna","female",1,"female",4
"Ojala, Reino Johannes","johannes","male",1,"male",2
"Olin, Kalevi Anders Wilhelm","anders","male",1,"male",4
"Partanen, Erkki Juhani","erkki","male",1,"male",2
"Pehkonen, Tauno Kalevi","kalevi","male",1,"male",2
"Peltomo, Pirkko Orvokki","pirkko","female",1,"female",2
"Penttilä, Risto Erkki Juhani","risto","male",1,"male",3
"Pohjola, Tuija Anne Marjut","anne","female",1,"female",3
"Prusti, Riitta Anneli","anneli","female",1,"female",2
"Puhjo, Veijo Olavi","veijo","male",1,"male",2
"Ranta-Muotio, Aulis Venneri","aulis","female",0,"male",2
"Rehn, Vuokko Kaarin Päivikki","vuokko","female",1,"female",3
"Rosendahl, Ola Mikael","mikael","male",1,"male",2
"Räsänen, Päivi Maria","maria","female",1,"female",2
"Smeds, Sakari","sakari","male",1,"male",1
"Tahvanainen, Säde Maarit","maarit","female",1,"female",2
"Takkula, Hannu Tapani","hannu","male",1,"male",2
"Tarkka, Jukka Tapio","jukka","male",1,"male",2
"Tiilikainen, Raimo Taisto Johannes","johannes","male",1,"male",2
"Tiusanen, Pentti Uolevi","pentti","male",1,"male",2
"Tulonen, Irja Marjatta","irja","female",1,"female",2
"Uotila, Kari Antero","kari","female",0,"male",2
"Vehviläinen, Anu Helena","helena","female",1,"female",2
"Veteläinen, Maija-Liisa","liisa","female",1,"female",2
"Viitamies, Janne Sakari","janne","female",0,"male",2
"Viitanen, Pia-Liisa (Pia)","pia","female",1,"female",2
"Virtanen, Pertti Olavi","pertti","male",1,"male",2
"Vokkolainen, Jorma Kalevi","jorma","male",1,"male",2
"Ryhänen, Matti Johannes","johannes","male",1,"male",2
"Salo, Mauri Mikael","mikael","male",1,"male",3
"Myllyniemi, Kari Kalervo","kari","female",0,"male",1
"Holopainen, Raimo Tapani","raimo","male",1,"male",2
"Koskinen, Jari Antero","jari","male",1,"male",2
"Siimes, Outi Inkeri","outi","female",1,"female",2
"Haatainen, Tuula Irmeli","tuula","female",1,"female",2
"Kanerva, Seppo Ahti Ilmari","seppo","male",1,"male",3
"Laine, Reino Kalevi","laine","female",0,"male",3
"Rehula, Juha Tapani","juha","male",1,"male",2
"Saarnio, Pekka Olavi","pekka","male",1,"male",2
"Vartiainen, Helena","helena","female",1,"female",1
"Sjöblom, Touko Juhani","juhani","male",1,"male",2
"Mertjärvi, Rauha-Maria","maria","female",1,"female",1
"Huutola, Matti Ilmari","matti","male",1,"male",2
"Siimes, Sini Maaria Suvi-Anne","anne","female",1,"female",4
"Lekman, Sirkka Liisa","liisa","female",1,"female",2
"Aho, Hannu Tapio","hannu","male",1,"male",3
"Akaan-Penttilä, Eero Erkki Emanuel","emanuel","male",1,"male",3
"Erlund, Rainer Vilhelm","rainer","male",1,"male",2
"Forsius, Merikukka",NA,NA,0,"female",0
